facility_id,facility_name,region,district,facility_type,latitude,longitude,procedures_free_text,equipment_free_text,specialties_free_text,staff_count,bed_capacity,emergency_services
FAC011,LEKMA Hospital,Greater Accra,Ledzokuku,District Hospital,5.6331,-0.0648,"Normal deliveries, Basic wound management, Outpatient care, Minor procedures. Referrals for anything complex.","Ultrasound (1), Basic lab, Examination rooms, Delivery room, No operating theater","General practice, Maternal care, Pediatric outpatient, Family medicine",45,40,Limited
FAC012,Catholic Hospital - Battor,Volta,North Tongu,Mission Hospital,5.9528,0.0876,"General surgery, Obstetrics including C-sections, Hernia repairs, Eye surgery (cataract), Cleft lip repairs during annual mission trips","Operating rooms (2), Ultrasound, X-ray, Laboratory, Small pharmacy, Eye clinic with equipment for cataract surgery","General surgery, Ophthalmology (visiting specialists), Obstetrics & Gynecology, Pediatrics",165,110,Yes
FAC013,Ga West Municipal Hospital,Greater Accra,Ga West,District Hospital,5.6789,-0.2891,"Basic surgery, Cesarean sections, Normal deliveries, Wound care, No specialized surgical services","Operating room (1), Ultrasound, X-ray (broken), Laboratory, Maternity ward","General practice, Obstetrics, Limited surgical services",78,60,Limited
FAC014,Manhyia District Hospital,Ashanti,Kumasi Metro,District Hospital,6.7045,-1.6113,"Normal deliveries, Minor surgical procedures, Outpatient services, Referrals to teaching hospital","Ultrasound, Basic lab, Examination rooms, Delivery beds, Claims surgical capacity (no surgeon on staff)","General practice, Obstetrics, Outpatient care",55,45,No
FAC015,Western Regional Hospital,Western,Sekondi-Takoradi,Regional Hospital,4.9333,-1.7667,"General surgery, Obstetrics & Gynecology, Cesarean sections, Hernia repairs, Appendectomies, Basic orthopedics","Operating theaters (2), CT scanner (installed 2023), X-ray, Ultrasound (3 units), Laboratory, ICU (15 beds), Blood bank","General surgery, Obstetrics & Gynecology, Internal medicine, Orthopedics, Radiology",340,240,Yes
FAC016,Nsawam Government Hospital,Eastern,Nsawam-Adoagyire,District Hospital,5.8082,-0.3524,"Basic surgical procedures, Normal deliveries, Cesarean sections, Wound management, Limited emergency care","Operating room (1), Ultrasound, X-ray, Laboratory, Maternity ward, Claims ICU (only 2 beds with no ventilators)","General surgery, Obstetrics, General practice, Limited emergency",95,70,Limited
FAC017,Kintampo Municipal Hospital,Bono East,Kintampo North,District Hospital,8.0548,-1.7310,"General surgery, Obstetrics, Normal deliveries, C-sections, Minor orthopedic care, Snake bite treatment (common in region)","Operating room (1), Ultrasound, X-ray, Laboratory, Blood bank, Emergency ward with oxygen","General surgery, Obstetrics & Gynecology, Emergency medicine, Snake bite treatment unit",115,80,Yes
FAC018,Akim Oda Government Hospital,Eastern,Birim Central,District Hospital,5.9307,-0.9833,"General surgery, Obstetrics, C-sections, Appendectomies, Limited pediatric surgery","Operating room (1), Ultrasound (broken), X-ray, Laboratory, Maternity ward","General surgery, Obstetrics, Pediatrics, General practice",68,55,Limited
FAC019,Holy Family Hospital,Greater Accra,Nungua,Mission Hospital,5.6003,-0.0833,"General surgery, Advanced obstetrics, Pediatric surgery, Laparoscopic surgery, Fertility treatments, IVF program","Operating theaters (3), Ultrasound (4 units), X-ray, CT scanner, Laboratory, IVF lab, NICU (15 beds), ICU (10 beds)","General surgery, Obstetrics & Gynecology with fertility, Pediatric surgery, Laparoscopic surgery, Reproductive medicine",285,160,Yes
FAC020,Nalerigu Baptist Medical Centre,North East,Nalerigu,Mission Hospital,10.5167,-0.3667,"General surgery, Obstetrics, Cesarean sections, Cleft surgeries, Orthopedic surgery, Eye surgery (seasonal teams)","Operating rooms (2), Ultrasound, X-ray, Laboratory, Blood bank, Solar power backup, Limited ICU capacity","General surgery, Obstetrics & Gynecology, Orthopedics, Ophthalmology (visiting), Pediatrics",178,95,Yes
