facility_id,facility_name,region,district,latitude,longitude,facility_type,specialties,equipment,procedures,staff_notes,last_updated
F011,Axim Government Hospital,Western,Nzema East Municipal,4.8667,-2.2400,District Hospital,"General Medicine, Maternity","Basic X-Ray, Laboratory","Normal deliveries, Outpatient consultation, Immunization","Small coastal facility. Only 2 doctors on staff. No surgery capability. Patients travel 90km to Takoradi for anything serious.",2023-11-15
F012,Berekum Municipal Hospital,Bono,Berekum Municipal,7.4553,-2.5782,District Hospital,"General Medicine, Maternity, Pediatrics","X-Ray, Ultrasound, Laboratory","Outpatient care, Deliveries, Child health","Rural facility serving farming communities. Equipment often breaks. 1 doctor, 6 nurses. Malaria treatment is main service.",2024-01-12
F013,Wenchi Methodist Hospital,Bono,Wenchi Municipal,7.7333,-2.1000,Mission Hospital,"General Medicine, Surgery, Maternity, HIV/AIDS Care","X-Ray, Ultrasound, Operating Theater, HIV Testing Lab","General surgery, Cesarean sections, HIV testing and treatment","Faith-based hospital with good reputation. Surgeon visits from Sunyani weekly. Strong HIV/AIDS program.",2024-01-30
F014,Agogo Presbyterian Hospital,Ashanti,Asante Akim North,6.8000,-1.0833,Mission Hospital,"General Medicine, Surgery, Orthopedics, Rehabilitation","X-Ray, Ultrasound, Operating Theaters (2), Physiotherapy Unit","Orthopedic surgery, Rehabilitation services, General surgery","Excellent orthopedic program. Handles complex fractures. Physical therapy department serves wide region. Need more nurses.",2024-02-05
F015,Battor Catholic Hospital,Volta,North Tongu,6.0833,0.4500,Mission Hospital,"General Medicine, Surgery, Maternity, Eye Care","X-Ray, Ultrasound, Operating Theater, Eye Clinic Equipment","Eye surgeries, General surgery, Maternity services","Strong eye care program attracting patients from across Volta region. Surgery unit well-maintained. Chronic drug shortage.",2024-01-20
F016,Nalerigu Baptist Medical Centre,North East,East Mamprusi Municipal,10.5167,-0.3667,Mission Hospital,"General Medicine, Surgery, Pediatrics, Obstetrics","X-Ray, Ultrasound, Operating Theater, Laboratory","General surgery, Obstetric care, Child health, Outpatient","Remote but well-equipped mission hospital. Only surgical facility for 100km. Dedicated staff. Solar power backup.",2024-01-25
F017,Sandema Hospital,Upper East,Builsa North,10.8667,-1.0167,District Hospital,"General Medicine, Maternity","Basic X-Ray, Laboratory","Basic healthcare, Deliveries, Immunization","Very basic facility. 1 medical officer. No running water some days. Equipment very old. Most patients go to Bolgatanga.",2023-10-30
F018,Kintampo Municipal Hospital,Bono East,Kintampo North Municipal,8.0553,-1.7308,District Hospital,"General Medicine, Pediatrics, Maternity","X-Ray, Ultrasound, Laboratory, Maternity Ward","Outpatient services, Normal deliveries, Child healthcare","Located on major highway. Handles road accident victims. Limited surgical capability. 3 doctors on staff.",2024-01-15
F019,Dormaa Presbyterian Hospital,Bono,Dormaa East,7.3642,-3.0500,Mission Hospital,"General Medicine, Surgery, Ophthalmology","X-Ray, Ultrasound, Operating Theater, Eye Equipment","General surgery, Eye surgeries, Maternity care","Good surgical program. Eye camp held quarterly with visiting specialists. Border location serves Cote d'Ivoire patients too.",2024-02-02
F020,Asamankese Government Hospital,Eastern,West Akim Municipal,5.8617,-0.6714,District Hospital,"General Medicine, Maternity, Pediatrics","X-Ray, Laboratory, Maternity Unit","Deliveries, Pediatric care, Outpatient consultation","Serves cocoa farming region. Seasonal malaria cases surge. Limited staff - only 2 doctors. No surgeon.",2024-01-18
